职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里云智能-通义大模型产品解决方案架构师（华北区域）-北京/杭州,,云智能集团,"中国-北京-北京,中国-浙江-杭州",本科,五年以上,P7,"1. 市场洞察和竞对分析
（1）洞察和产品相关的市场机会、市场容量和竞争格局。
（2）分析竞对产品核心指标、市场策略和市场价格。
（3）快速捕捉市场热点和客户业务痛点，挖掘产品商机，快速推动落地，形成领先竞争力。
2. 产品商机判断和深度技术交流
（1）作为产品线代表，参与商业策略设计和商机判断。
（2）对复杂项目需求，协同销售团队与客户进行深度技术交流，结合对行业发展方向和技术变革方向的洞察，就具体技术场景引导客户关键决策人决策，促进商机转化。
3. 产品方案设计和技术支持
（1）对复杂项目，理解客户的业务和功能性/非功能型需求、性能及可用性需求，基于客户场景，提供有技术竞争力和可行性、成本优势的产品组合方案，并在产品选型/POC/报价配置时， 提供技术支持。
（2）提炼基于客户业务场景的关键技术指标，形成领先控标项，在POC、winback等业务活动中落地验证。
（3）复杂项目推进方案跨团队协同优化，成本，性能，稳定性等多维度提升解决方案的竞争力。
（4）探索创新产品的方案和场景，推动新产品快速市场覆盖，保障产品创新活力。
（5）对大客户提供售后的关键技术答疑，用技术推动业务发展。
4. 产品设计和优化支持
（1）通过对行业、场景的深入了解，参与产品的重大功能设计、定价设计、用户体验设计，协助产品在行业/场景下保持领先性。
（2）识别并精准提炼客户的共性需求和痛点，反哺产品设计，推动产品改进和多产品融合、新产品和功能孵化。
5. 最佳实践沉淀和赋能
（1）沉淀面向细分场景的最佳实践，选择性输出IaC代码，通过项目实践总结标杆成功案例，提炼共性模块、统一标准化能力，加速产品方案规模化复制。
（2）提炼产品优势功能性能参数，并针对性的设计测试用例，放大产品和技术的影响力，沉淀基于测试用例、测试方案的解决方案竞争力。
（3）参与产品GTM材料编写、与伙伴共创联合解决方案、对销售团队和生态伙伴赋能。","1. 本科及以上学历，5年及以上工作经验。
2. 有大模型工程项目落地经验，算法研发或工程化落地大模型应用产品，或提供过落地的解决方案。
3. 具备良好沟通表达能力，动手能力强，能与客户高质量对话，抗压能力和执行力强。
4. 逻辑良好，能够在工作中挖掘方式方法优化的机会以及创新性思考方式，能反思复盘，主动思考，乐于分享。
5. 有互联网/AIGC/企业服务等领域工作经验优先。",1,蔡廷浩(闻卿),,2026 - 02 - 03,2026 - 04 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026012126e029f2aeed44319e3a278ce70cb85f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-海外渠道运营专家-AI Coding,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1. 渠道网络搭建 ：
制定海外渠道拓展策略，识别并BD目标合作伙伴（SI、MSP、技术社区等）；
主动开拓北美、亚太、欧洲市场的渠道伙伴，建立战略合作关系；
设计分层合作模型，明确权益与激励机制；
2. 渠道赋能与运营 ：
开发渠道培训体系（产品、竞品、销售方法论、Demo演示）；
提供销售工具包（Pitch Deck、ROI计算器、Case Study、试用资源）；
协调技术团队为渠道提供POC支持、客户答疑；
运营渠道伙伴社区，促进Best Practice分享；
3. 业绩驱动 ：
追踪渠道KPI（新签伙伴数、渠道ARR、培训完成率、客户留存率）；
建立渠道管理体系，实现招募-赋能-交易全流程可视化；
定期输出业绩分析，识别高潜/问题伙伴并制定改进计划。","1、本科以上学历，3年以上B2B海外市场渠道拓展经验；
2、具备SaaS/DevTools/云服务的渠道运营经验；
3、英语流利，能独立进行海外商务谈判与培训；
4、拥有Owner精神，对产品ARR增长负责。

加分项：
1、5年以上B2B海外市场渠道拓展经验，有0到1搭建经验；
2、有AI工具/开发者工具（GitHub, JetBrains, Cursor等）渠道经验；
3、有海外AI产品/云服务商Partner生态工作经验；
4、个人在海外社交媒体LinkedIn/Substack/Medium等平台有影响力。",1,黄雪纯(夏知),,2026 - 01 - 20,2026 - 04 - 14,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601209b94015af3d941218ed4d057d8c98af4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-通义大模型产品解决方案架构师（华北区域）-北京/杭州,,云智能集团,"中国-北京-北京,中国-浙江-杭州",本科,五年以上,P7,"1. 市场洞察和竞对分析
（1）洞察和产品相关的市场机会、市场容量和竞争格局。
（2）分析竞对产品核心指标、市场策略和市场价格。
（3）快速捕捉市场热点和客户业务痛点，挖掘产品商机，快速推动落地，形成领先竞争力。
2. 产品商机判断和深度技术交流
（1）作为产品线代表，参与商业策略设计和商机判断。
（2）对复杂项目需求，协同销售团队与客户进行深度技术交流，结合对行业发展方向和技术变革方向的洞察，就具体技术场景引导客户关键决策人决策，促进商机转化。
3. 产品方案设计和技术支持
（1）对复杂项目，理解客户的业务和功能性/非功能型需求、性能及可用性需求，基于客户场景，提供有技术竞争力和可行性、成本优势的产品组合方案，并在产品选型/POC/报价配置时， 提供技术支持。
（2）提炼基于客户业务场景的关键技术指标，形成领先控标项，在POC、winback等业务活动中落地验证。
（3）复杂项目推进方案跨团队协同优化，成本，性能，稳定性等多维度提升解决方案的竞争力。
（4）探索创新产品的方案和场景，推动新产品快速市场覆盖，保障产品创新活力。
（5）对大客户提供售后的关键技术答疑，用技术推动业务发展。
4. 产品设计和优化支持
（1）通过对行业、场景的深入了解，参与产品的重大功能设计、定价设计、用户体验设计，协助产品在行业/场景下保持领先性。
（2）识别并精准提炼客户的共性需求和痛点，反哺产品设计，推动产品改进和多产品融合、新产品和功能孵化。
5. 最佳实践沉淀和赋能
（1）沉淀面向细分场景的最佳实践，选择性输出IaC代码，通过项目实践总结标杆成功案例，提炼共性模块、统一标准化能力，加速产品方案规模化复制。
（2）提炼产品优势功能性能参数，并针对性的设计测试用例，放大产品和技术的影响力，沉淀基于测试用例、测试方案的解决方案竞争力。
（3）参与产品GTM材料编写、与伙伴共创联合解决方案、对销售团队和生态伙伴赋能。","1. 本科及以上学历，5年及以上工作经验。
2. 有大模型工程项目落地经验，算法研发或工程化落地大模型应用产品，或提供过落地的解决方案。
3. 具备良好沟通表达能力，动手能力强，能与客户高质量对话，抗压能力和执行力强。
4. 逻辑良好，能够在工作中挖掘方式方法优化的机会以及创新性思考方式，能反思复盘，主动思考，乐于分享。
5. 有互联网/AIGC/企业服务等领域工作经验优先。",1,蔡廷浩(闻卿),,2026 - 02 - 03,2026 - 04 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026012126e029f2aeed44319e3a278ce70cb85f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-海外渠道运营专家-AI Coding,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"1. 渠道网络搭建 ：
制定海外渠道拓展策略，识别并BD目标合作伙伴（SI、MSP、技术社区等）；
主动开拓北美、亚太、欧洲市场的渠道伙伴，建立战略合作关系；
设计分层合作模型，明确权益与激励机制；
2. 渠道赋能与运营 ：
开发渠道培训体系（产品、竞品、销售方法论、Demo演示）；
提供销售工具包（Pitch Deck、ROI计算器、Case Study、试用资源）；
协调技术团队为渠道提供POC支持、客户答疑；
运营渠道伙伴社区，促进Best Practice分享；
3. 业绩驱动 ：
追踪渠道KPI（新签伙伴数、渠道ARR、培训完成率、客户留存率）；
建立渠道管理体系，实现招募-赋能-交易全流程可视化；
定期输出业绩分析，识别高潜/问题伙伴并制定改进计划。","1、本科以上学历，3年以上B2B海外市场渠道拓展经验；
2、具备SaaS/DevTools/云服务的渠道运营经验；
3、英语流利，能独立进行海外商务谈判与培训；
4、拥有Owner精神，对产品ARR增长负责。

加分项：
1、5年以上B2B海外市场渠道拓展经验，有0到1搭建经验；
2、有AI工具/开发者工具（GitHub, JetBrains, Cursor等）渠道经验；
3、有海外AI产品/云服务商Partner生态工作经验；
4、个人在海外社交媒体LinkedIn/Substack/Medium等平台有影响力。",1,黄雪纯(夏知),,2026 - 01 - 20,2026 - 04 - 14,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601209b94015af3d941218ed4d057d8c98af4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-技术服务专家TAM-公共云业务-北京,,云智能集团-阿里云智能,中国-北京-北京,本科,三年以上,P7,"1. 作为企业客户技术服务工作的第一责任人，深入了解客户业务场景，与客户的架构、开发、运维团队深入合作，梳理分析客户现有云产品及应用架构，围绕企业客户上云、云上业务设计稳定性优化方案，从云上监控，主动发现，灾难演练，业务快恢/降级方案，高可用架构改造等方面协助客户持续优化云上稳定性。
2.通过自动化与智能化的手段高效解决对客技术服务以及客户方案落地中的各种技术问题，从客户架构视角出发进行问题处置、风险治理，并沉淀输出最佳实践及工具产品，持续推动阿里云产品及服务的优化改进。
3.结合生成式AI技术与机器学习平台工具，为客户提供从方案评估、部署实施到技术演示的一站式AI落地支持，负责算法与模型的优化，针对特定场景应用微调、评测等手动推动AI能力在客户业务中的高效转化。
4.使用阿里云的AI大模型和平台工具产品，支撑阿里云客户完成AI创新应用落地。提供Agent工程落地服务，包括数据和知识准备、工程链路搭建、提示词调优等。
5. AI相关云产品稳定性保障，AI全链路排查问题，包括SaaS层AI产品，AI相关PaaS/IaaS产品。高效排查解决产品技术售后问题，在服务过程中关注客户体验提升、有效管控客情。","1. 2年以上泛娱乐、零售、金融、教育等行业大型互联网应用或集团型企业应用的解决方案、架构设计、监控方案、Devops、AIops、维护、高可用改造方案经验。
2. 熟悉大模型开发框架（LangChain、Spring AI等），有提示词调优、大模型微调、RAG应用构建、大模型Agent开发等AI领域中的一项或多项技术能力和经验；有基于百炼、Dify构建大模型应用经验者优先。
3. 熟悉JAVA、Python、GO其中一门开发语言，熟悉常见中间件如Redis、Nacos、Kafka等，具有2年以上软件开发经验优先。
4. 具备云原生、大数据、数据库、网络、中间件等领域中的一项或多项技术理解和应用经验，有阿里云公共云产品相关使用运维经验优先。
5. 熟悉云原生的系统架构设计方法，有应用与数据迁移改造方案设计实施经验优先。
6. 具有优秀的沟通技巧、团队合作经验、敬业精神和学习能力。
7. 具有较强的抗压能力和执行力，并能接受一定频率的出差。

加分项：
1. 有ACP（阿里云认证工程师）、ACE（阿里云认证高级工程师）者优先。
2. 有基于阿里云产品的大规模应用开发或运维经验。",1,曹梦(粼汐),,2026 - 01 - 30,2026 - 04 - 30,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260119f0b49e2b49044674aa94794c21186970&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-AI Coding产品资深专家-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P9,"阿里云旗下的 AI Coding 创新团队，致力于革新软件开发 paradigm。我们正在打造下一代AI驱动的智能开发工具产品，旨在彻底改变开发者的工作方式。我们的产品覆盖 AI native IDE、智能编程助手等多元化产品形态，通过尖端 AI 技术提供智能化功能和流畅体验，显著提升开发效率与创新力。我们正寻找富有激情、创造力和前瞻性思维的精英人才加入，共同定义软件开发的未来。

1、领导阿里云 AI Coding 产品的全生命周期管理，包括市场研究、产品战略制定、功能设计、用户体验优化及产品运营。
2、洞察行业趋势和技术发展，制定有竞争力的产品路线图，确保产品在快速发展的AI编程领域保持领先地位。
3、设计创新的 AI 辅助编程交互模式，优化信息架构和界面布局，打造直观、高效且引人入胜的开发体验。
4、与 UI/UX、工程和模型算法团队紧密协作，持续提升产品的视觉、交互和智能化体验。
5、通过深度用户研究、数据分析和实验，深入理解开发者需求，持续优化产品功能和用户体验。
6、积极探索AI技术在软件开发领域的创新应用，提出并实施前瞻性的产品理念和功能，多个小规模产品的市场、规划、设计、管理经验；产品生命周期管理经验。
7、建立和维护与 key stakeholders 的关系，包括内部团队、合作伙伴和重要客户，确保产品战略的顺利实施。","1、本科及以上学历，计算机、设计相关专业优先；5年及以上产品经理经验，有开发工具或 AI 相关产品设计经验者优先；对 AI 技术有浓厚兴趣，能快速理解并应用最新 AI 技术到产品中。
2、云计算领域5年+产品经理经验、技术架构经验、多产品线核心竞争力构建经验；具备基础的编程知识，能与技术团队进行高效沟通；深入理解软件开发生命周期、工具链和最佳实践；熟悉开发者工作流程和痛点，有实际软件开发经验和敏捷开发实践者优先。
3、具备出色的分析能力和创新思维，了解全球 AI Coding 领域的产品现状，能洞察市场趋势并提出创新产品方案。
4、对交互设计有敏锐直觉，专注于打造卓越的用户体验。
5、优秀的项目管理能力，能有效协调和推动跨职能团队合作；出色的口头和书面沟通技巧，能清晰表达复杂概念并影响决策；在快速变化的技术环境中展现适应力和问题解决能力。
6、有丰富的产品团队管理经验，有足够的主人翁意识和逻辑思维，独立思考，不盲从，具有创新精神和冒险意愿，积极主动的工作态度，能在模糊情况下定义明确方向；有责任感，有跨团队协作能力，以用户价值为先，热爱用户，致力于创造用户喜爱的产品。
7、优秀的英语读写能力，能流畅阅读和理解技术文档、产品资料和学术论文。",1,黄雪纯(夏知),,2026 - 01 - 19,2026 - 03 - 19,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026011949b0e4d4d8564acfae714cc57eb0ff96&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-通义大模型产品解决方案架构师(技术架构方向)-北京/深圳/杭州/上海,,云智能集团,"中国-北京-北京,中国-广东-深圳,中国-浙江-杭州,中国-上海-上海",本科,五年以上,P7,"1、大模型商机判断和深度技术交流：
（1）赋能前端业务线/行业线，推动大模型场景业务快速拓展。
（2）作为大模型产品团队代表，支撑前线业务线开展商机判断和选择。
（3）针对复杂项目需求，协同前后团队与客户进行深度技术交流，促进商机转化，为结果负责。
2、产品解决方案设计与规模推广：
（1）支持行业/区域的市场洞察，理解行业客户的业务和功能性/非功能型需求，基于客户场景，提供有技术竞争力和成本优势的产品组合方案，并在产品选型/配置报价/招投标过程中， 提供技术支持。
（2）探索创新产品的方案和场景，推动新产品快速市场覆盖。
（3）主导解决方案的实现和交付，确保快速满足客户诉求。
（4）负责大模型产品落地页、商业机会挖掘、解决方案Demo中心等平台服务端架构设计与开发，提供统一平台能力，保障可用性及安全性。
（5）负责大模型服务的对客体验，对接客户侧功能和体验问题，负责相关问题的Triage、定位和推动问题的最终解决。
（6）负责大模型服务的对客体验，对接客户侧效果和体验问题，负责通过后训练产品实现客户场景效果目标，并交付服务。
（7）负责视频生成，图片生成，语音类模型产品和解决方案产品的商业化设计、问题解决和售卖。
3、产品改进：
（1）深入调研客户需求，将合理需求准确地反馈到产品研发团队，负责改进需求在产品中的实现效果验收，帮助部门大模型/智能化相关产品的持续发展。
（2）推动后端与前端团队的协作，完成接口设计与联调，确保产品功能高效落地。
4. 市场洞察：
（1）洞察产品的市场机会、市场容量和竞争格局，捕捉机会，找到方向并能影响前线和产研快速推动落地。","1. 技术能力
（1）计算机相关专业本科及以上学历，3年以上服务端开发经验，精通Python/Java/Golang至少一门语言。
（2）熟悉大模型技术栈（如向量数据库、Prompt工程），了解主流框架（HuggingFace、LangChain、n8n等）。
（3）有大模型算法背景优先。
（4）加分项：有LLM应用开发经验（如RAG、Agent系统），熟悉主流云平台AI服务（Azure AI Foundry、GCP Vertex AI等）。
2. 业务能力
（1）洞察产品的市场机会、市场容量和竞争格局，捕捉机会，找到方向并能影响前线和产研快速推动落地。
（2）具备AI产品商业化思维，能敏锐捕捉客户痛点并提出技术驱动型解决方案。
（3）有B端项目交付经验，熟悉从需求对接到交付上线的全流程管理。
（4）极强的跨团队沟通与多任务管理能力，能承受压力环境。
（5）对新模型技术（如多模态、MoE架构）保持高敏感度，学习能力强。
（6）深入调研客户需求，将合理需求准确地反馈到产品研发团队，负责改进需求在产品中的实现效果验收，帮助部门大模型/智能化相关产品的持续发展。",1,蔡廷浩(闻卿),,2026 - 02 - 03,2026 - 04 - 16,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260119fd0d8941f73849f09f063de205a5d362&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-通义大模型产品解决方案架构师（SMB方向）-北京/深圳/杭州/上海,,云智能集团,"中国-北京-北京,中国-广东-深圳,中国-浙江-杭州,中国-上海-上海",硕士,三年以上,P7,"1.  大模型商机孵化
（1）作为通义大模型产品团队代表，-针对复杂项目需求，协同前后团队与客户进行深度技术交流，促进商机转化，为结果负责。
（2）赋能阿里云前端业务线/行业线，深入理解消费电子、短剧、数据挖掘、教育等核心行业的业务流程与痛点，识别通义大模型应用的创新机会。
（3）洞察产品的市场机会、市场容量和竞争格局，基于行业洞察，评估大模型解决方案的可行性与商业价值，推动从“0到1”的场景拓展。
（4）针对复杂项目需求，协同前后端团队与客户进行深度技术交流，通过“行业洞察+技术验证”双轮驱动，促进商机转化并为结果负责。
（5）洞察产品的市场机会、市场容量和竞争格局，捕捉机会，找到方向并能影响前线和产研快速推动落地。
2.  产品解决方案设计与规模化落地
（1） 支持行业/区域的市场洞察，理解客户功能性与非功能性需求。基于“算力-数据-模型-平台-应用”五层架构，提供具备技术竞争力和成本优势的产品组合方案，并在招投标与选型中提供核心技术支持。
（2）聚焦Agent化转型与多模态融合趋势，设计智能体矩阵解决方案。负责大模型落地页、商业机会挖掘、Demo中心等平台服务端架构设计与开发，构建可插拔、标准化的模型缝合能力，实现中长尾客户“开箱即用”。
（3） 主导对客体验闭环：对接客户侧的功能、体验及效果问题。利用RAG/PE/SFT等技术手段降低幻觉风险，通过精准的Triage定位与技术方案交付，快速解决客户痛点，保障安全可控的内容输出。
（4）负责大模型服务的对客体验，对接客户侧功能和体验问题，负责相关问题的Triage、定位和推动问题的最终解决。
3.  产研协同与市场格局洞察
（1） 深入调研客户需求，将一线聚类需求准确反馈至模型与工程团队，帮助工程团队及能力中心架构师做出技术解决方案，驱动MaaS平台及模型能力的迭代发展。
（2）洞察大模型产业机会、市场容量及竞争格局。捕捉前沿技术趋势（如推理优化、MoE架构），为产品战略及前线业务落地提供强有力的技术支撑。
（3）深入调研客户需求，将合理需求准确地反馈到产品研发团队，负责改进需求在产品中的实现效果验收，帮助部门大模型/智能化相关产品的持续发展。","1. 技术能力
（1）计算机相关专业本科及以上学历，3年以上服务端开发经验，精通Python/Java/Golang至少一门语言。
（2）熟悉大模型技术栈（如向量数据库、Prompt工程），了解主流框架（HuggingFace、LangChain、n8n等）。
（3）有大模型算法背景优先。
（4）加分项：有LLM应用开发经验（如RAG、Agent系统），熟悉主流云平台AI服务（Azure AI Foundry、GCP Vertex AI等）。
2. 业务能力
（1）洞察产品的市场机会、市场容量和竞争格局，捕捉机会，找到方向并能影响前线和产研快速推动落地。
（2）具备AI产品商业化思维，能敏锐捕捉客户痛点并提出技术驱动型解决方案。
（3）有B端项目交付经验，熟悉从需求对接到交付上线的全流程管理。
（4） 极强的跨团队沟通与多任务管理能力，能承受压力环境。
（5）有好奇心，对新模型技术（如多模态、MoE架构）保持高敏感度，学习能力强。",1,蔡廷浩(闻卿),,2026 - 02 - 03,2026 - 04 - 17,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260119ce19e201c71b4db7952d68e6f12aa777&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-行业解决方案架构师（汽车）-（AI汽车行业线）广州/深圳/重庆,,云智能集团-阿里云智能,"中国-广东-广州,中国-广东-深圳,中国-重庆-重庆",本科,八年以上,P7,"1、市场洞察和竞争分析
•基于细分领域市场发展趋势、市场空间、核心场景及痛点等需求信息，输出细分领域的市场洞察分析报告；
•收集竞争情报，通过竞争项目中竞对的策略和方案分析，给出差异化竞争方案。

2、商机识别和售前引导
•负责客户关键决策人的售前引导工作，用客户的语言展开对话，获取信任，挖掘客户真实需求，形成有效商机。
•深挖客户的业务技术现状和发展趋势，建立完整准确的客户业务技术档案。

3、解决方案设计和推广
•根据客户需求制作针对性的解决方案，项目中制定正确的产品选型策略、POC测试打击策略、招投标策略、产品配置策略等，达成合同签约，持续保障阿里云在该客户的份额提升。
•推动公共云解决方案在细分领域的孵化和规模化复制。
•在方案落地过程中及时发现并处理技术和项目风险，协同产研及交付团队正常履约，实现收入转化。

4、能力沉淀和赋能
•沉淀面向细分领域/场景的通用云架构模板、最佳实践、细分领域案例等知识文档。
•对销售团队和生态伙伴宣讲、布道和赋能培训。

5、产品需求和缺陷反馈
•抽象和归纳细分领域的产品需求和缺陷，推动产品改进、新产品立项和重大功能上线，提升产品竞争力。

6、打法策略制定和技术影响力建立（仅8级及以上）
•带领实线团队或者横向拉通虚拟团队完成团队业务目标，根据外部竞争情况和细分领域发展趋势，主导输出完整的销售指导书或者打法策略文档（如解决方案、赋能材料、实施计划等）。
•完成高质量的外部技术交流或行业会议发言，影响客户技术决策、建立阿里云技术影响力。","• 8年以上云计算、基础设施、软件开发、SRE、技术解决方案等相关技术领域经验
• 3年以上至少一种语言的开发经验（Java、PHP、Go、C++、nodejs、Python等）
• 有重大项目架构设计/优化、产品部署测试、技术问题处理经验
• 有机器学习、AI、生成式AI的解决方案经验优先
• 有大型互联网或软件公司平台架构、SRE体系、应用开发的核心架构师经验优先
• 有Azure或AWS相关工作经验优先（公共云事业部）
• 2个以上产品领域（七大件、AI等）的专家，掌握典型场景的技术架构方案，具备重大项目架构设计/优化、产品部署测试、技术问题处理能力。
• 能够制作出高质量强竞争力的技术架构方案，形成细分领域的打法，主导输出完整的销售指导书或者专项打法策略文档。
• 能制定正确的产品选型策略、POC测试打击策略、招投标策略、产品配置策略等。
• 能协调整合跨部门、跨BU、集团生态和外部生态资源，制定联合策略，共同完成目标，实现共赢，并沉淀组织能力。
• 能高质量完成面向客户高层（CTO及以上）的方案宣讲及交流，影响客户技术决策。
• 能和客户CTO独立建立技术互信，对客户关键层级（部门经理和总监级）有技术影响和引领能力，影响该层面的技术选型和发展策略，收集竞争情报并分析出竞争项目中友商的策略和方案，并配合BTE制定针对性的竞争动作。
• 能提出细分领域有效的产品改进意见，推动产品关键需求或新产品立项。
备注：持有阿里云ACA/ACP/ACE认证证书者优先",1,贾鑫(叁斤),,2026 - 02 - 24,2026 - 05 - 24,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601192f027e3e9bda48df9100acd0e6d28b36&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-解决方案架构师（医疗健康AI方向）-北京,,云智能集团-阿里云智能,中国-北京-北京,本科,六年以上,P7,"医疗健康市场洞察和竞争分析
•基于医疗健康细分领域市场AI发展趋势、市场空间、核心场景及痛点等需求信息，结合所在国家/区域/行业的特点，输出细分领域的机会点及市场洞察分析报告；
•通过竞争项目中竞对的策略和AI方案分析，给出差异化竞争方案，并定期输出高质量的竞争情报。
医疗健康AI商机识别和售前引导
•基于对客户业务策略的理解，准确识别和理解客户语言背后的真实意图和本质，与客户关键决策人建立信任关系，并制定针对性的产品/解决方案引导策略，引导产品和解决方案销售。
•制作高质量解决方案和项目建议书等相关文档，并就具体业务或技术场景，对客户关键决策人进行引导。
医疗健康AI解决方案设计和推广
•根据客户需求制作针对性的解决方案，项目中制定正确的产品选型策略、POC测试打击策略、招投标策略、产品配置策略等，达成合同签约，持续保障阿里云在该客户的份额提升。
•推动行业解决方案在细分领域的孵化和规模化复制。
•在方案落地过程中及时发现并处理技术和项目风险，协同产研及交付团队正常履约。
生态合作
•通过联合解决方案，推动与行业生态伙伴的合作，推动阿里云产品“被集成”。
能力沉淀和赋能
•沉淀面向细分领域/场景的行业解决方案、联合解决方案、最佳实践等知识文档。
•对销售团队和生态伙伴宣讲、布道和赋能培训。
产品需求和缺陷反馈
•代表客户持续向产品反馈需求，抽象和归纳细分领域的产品需求和缺陷，推动产品改进、新产品立项和重大功能上线，打磨产品和解决方案，提升产品竞争力。","• 6年以上相关工作经验
• 丰富的医疗健康行业项目经验
• 具备AI架构设计能力，熟悉业内主流智算、大模型、智能体设计方法。
• 能制定正确的AI产品选型策略、POC测试打击策略、招投标策略、产品配置策略等。
• 能协调整合跨部门资源，推动上级主管通过跨BU、集团生态和外部资源的整合，保障重大项目赢单，沉淀组织能力。
• 能高质量完成面向客户中高层的方案汇报。
• 细分领域专家，能洞察细分领域市场空间、需求和痛点、方案机会点等。
• 能提出细分领域有效的产品改进意见，推动产品缺陷修复、功能完善、迭代升级。
• 与行业主要生态伙伴进行项目级合作，明确合作边界，准确判断伙伴能力。
• 识别合作机会点，推动双方联合进行业务拓展。
• 撰写合格的招投标所需相关材料的经验",1,贾鑫(叁斤),,2026 - 01 - 16,2026 - 04 - 16,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026011656b04dc2b49d41bb9c01e4123f0913ef&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
