职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
AI搜索研发工程师,小红书,,"上海市,北京市",本科及以上,不限,,"1、负责小红书AI搜索核心架构的研发与迭代，支撑亿级用户规模的AI搜索产品，保障服务稳定高效运行。
2、提供业界领先的AI搜索/Agent技术解决方案，主导设计动态Workflow框架、Memory系统等关键模块，持续提升搜索智能化水平与用户体验。
3、构建大模型在搜索场景下的高可用应用架构，完善系统观测、全链路Trace、容灾备份及故障自愈能力，确保业务连续性与极致用户体验。","1、有AI搜索、多模态搜索、Agent、RAG（检索增强生成）相关业务场景的架构设计或研发经验者优先，熟悉大模型应用落地流程者加分。
2、精通JAVA/C++/Golang等至少一门语言，精通高性能、高并发、高可用性分布式系统的设计原理与实践方案，有大规模分布式系统落地经验者优先。
3、具备业务架构与应用架构的全局视野，能独立完成架构设计、关键业务领域建模，熟练掌握常用设计模式与软件架构模式，对架构的扩展性、性能优化、容错性有成熟的知识体系与实践经验。
4、具备丰富的生产系统问题分析与排查能力，擅长快速定位并解决复杂系统故障，拥有扎实的性能分析、瓶颈优化经验，能持续提升系统运行效率。
5、技术学习与迭代能力强，适应业务快速发展节奏，具备优秀的跨团队沟通、协同与推动能力；对业务架构敏感度高，能从全局视角预判潜在风险并推动落地解决，保障业务与技术协同发展。",若干,邵静静,,,,,https://hunter.xiaohongshu.com/position-detail/18970
动漫行业运营,小红书,,"上海市,北京市",本科及以上,3-5年,,"1、负责动漫、番剧、漫剧、动态漫等二次元垂类的优质内容引入与合作，结合行业动态与用户趋势，制定并实施小红书平台的内容合作策略与解决方案；
2、拓展和维护与行业优质版权方、制作人等核心伙伴的合作关系，对合作内容的消费表现与业务成果负责；
3、围绕动漫领域高关注度IP，策划并执行具备影响力的事件合作与内容营销活动。","1、具备2年以上动漫、二次元内容领域相关工作经验，熟悉行业生态，拥有丰富行业资源者优先；
2、深度热爱二次元文化，对圈层用户、内容形态与文化趋势有深入理解和敏锐洞察；
3、具备优秀的沟通协调与资源整合能力，能有效推进并落地大型合作项目。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18958
用户理解算法工程师-广告方向,小红书,,"北京市,上海市",本科及以上,1-3年,,"1. 用户兴趣/价值建模：基于小红书社区用户海量的行为数据，利用迁移学习、多场景多目标、序列建模、LLM等方式构建广告2. 用户表征、商业转化价值、可解释用户兴趣等；
3. 人群定向：构建小红书广告货找人模型，挖掘广告各行业/品牌的种草、购买决策人群，优化灵犀、聚光等平台人群定向效率；
4. 核心场景落地：推动用户理解能力在广告召回、排序、定向扶持、出价扰动等环节落地，优化用户的广告体验，助力广告主高效起量。","1. 计算机或相关专业本科以上学历，具备扎实的数学、统计学以及计算机基础；
2. 熟悉常见的常见机器学习、深度学习、数据挖掘方法，能熟练使用至少一种深度学习框架，如tensorflow、pytorch等；
3. 至少精通一门编程语言，包括但不限于C++/python/java/scala；
4. 熟悉至少一种分布式计算、存储系统使用，如 Hive/Spark/Flink 等；
5. 具备优秀的研究和创新能力，在KDD/NIPS/RECSYS等顶会上发表过论文或KDD CUP/ACM获奖者优先；
6. 有良好的沟通协作能力和探索欲望，乐于钻研新事物、并且在不同场景表达和实践自己的想法。",1,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/18950
增长算法工程师-用户触达,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书消息 PUSH 相关的算法工作，促进用户增长
2、负责 PUSH 的算法、策略的设计，并直接参与 PUSH 场景下推荐系统的全链路开发与优化，包括但不局限于触发、召回、粗排、精排、下发策略等阶段
3、合理设计因果推断模型，搭建通用性因果平台，为PUSH 付费、激励等场景提供技术，提升业务效果
4、研究并优化推送时机 、频次控制、平衡用户体验与业务目标
5、从海量数据中挖掘用户消费行为、社交关系网以及运营热点实现 PUSH 内容池的搭建，通过大模型进行素材生成和优选等手段提升效率","1、有扎实的数据结构和算法功底，熟悉业界主流的机器学习算法
2、具备 2 年以上互联网行业，消息推送相关算法工作经验
3、有 PUSH、推荐、搜索、自然语言处理相关经验者优先",2,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/18947
资深家居创作者运营,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责家居垂类作者运营，标杆作者孵化，对标杆作者规模和成长负责； 
2、熟悉家居垂类作者/机构，在作者引入/搞潜挖掘/作者激励和粉丝成长上具有策略能力，实现作者成长与粉丝跃迁； 
3、通过外部视角为垂类作者赋能，包含行业合作、作者孵化和商业变现，提升作者影响力;","1、统招本科及以上学历，3年以上垂类创作者运营经验，具备完善的作者成长方法论;
2、熟悉主流内容平台，有一定的传播营销策划能力加分； 
3、具有良好的文案能力，内容敏感度高，善于提炼总结内容范式; 
4、具备突破创新能力，快速学习与总结能力，项目管理能力，及良好的跨部门协同能力。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18913
热点运营-泛娱乐,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书泛娱乐热点的趋势挖掘、放大和人群运营；
2、爆款运营：建设UGC热点讨论团，洞察圈层趋势并总结热门内容特征，提升热点促产规模，并通过高点运营形成具有小红书特质的爆款热点；
3、讨论运营：根据新热影综娱内容，策划热点活动选题，负责从选题洞察、创意执行及效果复盘的全流程项目管理，提升热点活动全站讨论及用户规模；
4、热点心智：持续沉淀泛娱乐领域的热点差异化心智，为圈层用户提频负责；
5、热点值班：日常参与热点运营团队值班，为值班当天热榜版面及榜单规模负责。","1、全日制本科学历，有3年以上主流内容产品运营工作经验，有热点爆款经验优先；
2、内容sense一流，热点敏感度高；
3、了解内容挖掘和分发逻辑，有过深入的产品/算法协作经验，并取得过业务收益；
4、有良好的数据分析能力与项目统筹协助能力，善于跨部门协作。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18882
音乐版权合作运营,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、版权采买与合作规划：根据公司战略目标和市场环境，设计并实施全面的版权运营策略，包括版权获取、评估、保护、增值及商业化路径规划。协同垂类进行谈判方案设计及权益体系搭建，与版权方、渠道合作伙伴的商务谈判，达成版权合作；
2、版权内容分发策略：洞察用户全生命周期中版权内容分发问题并提出可行性方案，提升版权内容兴趣人群规模；
3、垂类作者变现策略：根据垂类作者特性、平台商业化、品牌需求特征，梳理作者变现策略，跑通作者变现模式，构建良性生态；","1、音乐行业版权合作经验丰富者优先；
2、平台商务合作经验丰富，品牌资源丰富，有音乐类内容商务撮合经验者优先；
3、了解小红书平台及内容生态，在内容社区有过至少3年以上版权运营相关经验，能体系化输出产品规划、内容策略经验优先；
4、沟通力执行力强，能出色的跨多部门、团队沟通协作和项目管理能力，能够适应不同类型的沟通对象，顺利推进项目落地；",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18923
创作者策略产品经理,小红书,,"上海市,北京市",本科及以上,3-5年,,"1.负责小红书扶持和投放类流量的整体推荐链路的策略设计，和算法、运营团队充分协作，提高流量对笔记推爆和作者成长的效率；
2.负责小红书作者成长和激励任务策略的设计和落地，从目标作者人群的选择、到激励任务策略的设计，闭环去负责整体作者的成长牵引；
3.分析和理解小红书的作者生态，找到作者成长中的共性问题，基于问题找到和制定改善作者生存状态的策略；","1、3年以上策略产品经验，具备创作者侧策略相关经验者优先；
2、在主流内容平台拥有个人创作经历，粉丝量超过1000者加分；
3、熟悉小红书社区生态，深度活跃用户优先。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18156
资深音乐创作者运营,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责音乐垂类作者运营，根据业务发展需求，对垂类作者进行有效分层，并通过内容策划、社群运营、活动等手段，筛选和扶持优质作者；
2、对作者规模与成长负责，熟悉音乐行业作者/机构，在作者引入/高潜挖掘/作者激励和粉丝成长上具有策略能力，实现作者成长与粉丝跃迁；
3、负责音乐活动策划，能够保持对站内外最新的内容趋势，落地垂类特色活动和话题，提升垂类整体优质内容规模；
4、发现优质内容并运用合理的资源放大，敏锐捕捉音乐趋势热点并调动作者规模化生产，为创作者的投稿率和质量负责；
5、围绕音乐行业，能有效提供创作者运营方法策略、激励作者成长和内容规模增长，通过创作指导、站内外资源等手段，助力垂类作者成长，提升创作者活跃，打造标杆作者。","1、热爱音乐，音乐涉猎广泛。了解音乐行业和小红书内容，对内容敏感、有判断；
2、本科及以上学历，3年以上作者运营经验，能洞察音乐行业内容生态；从事过热点运营/内容策划/大型项目执行经验等相关岗位者优先；
3、数据敏感，有逻辑思维能力，能够拆解问题找解法，同时保持内容敏感；
4、沟通能力强，抗压能力强，有责任心，有内容平台/MCN博主孵化相关经历优先。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18673
创作者运营/内容运营,小红书,,"上海市,深圳市",本科及以上,3-5年,,"1、负责小红书体育垂类视频创作者运营，为垂类视频消费规模及标杆作者打造负责
2、通过站内挖掘、站外引入等方式发现并孵化优质体育视频创作者，结合内容选题、活动策划、社群运营等手段，加速作者成长 
3、深度洞察体育内容趋势与优质内容范式，提升潜力标杆作者影响力及爆款内容数","1、体育内容深度爱好者，至少深度了解一项细分运动，包括但不限于足球、网球、极限运动等（加分项：熟悉体育赛事及产业）
2、本科及以上学历，3年以上创作者运营/内容运营相关经验，有体育垂类运营经验者优先
3、具备较强的逻辑思维和数据分析能力，能够较好使用平台数据分析工具诊断问题并形成可执行策略
4、喜欢小红书，自驱力/韧性强，有较强的沟通协同和项目推进能力",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/18554
游戏创作者运营-休闲游戏,小红书,,上海市,本科及以上,1-3年,,"1、负责休闲游戏的创作者运营，为作者规模和标杆作者打造负责
2、能够结合平台需求与竞争优势，找到突破机会，打造创作者圈层心智，创造良好的创作氛围
3、有良好的活动策划能力，能为创作者和游戏IP策划并落地有影响力的活动
4、通过运营数据分析，发现当前问题，实现消费规模持续增长","1、本科及以上学历，1年及以上内容运营相关工作经验
2、深度游戏爱好者，对休闲竞技、模拟经营、女性向其中至少一类游戏精通
3、有策略规划能力，为结果负责
4、责任心强，交付效率高，思维活跃，能够做到对工作积极主动",1,王岳,,,,,https://hunter.xiaohongshu.com/position-detail/17200
游戏赛事运营,小红书,,"深圳市,上海市",本科及以上,3-5年,,"1、负责竞技向游戏赛事生态运营，包括创作者生态、战队运营、厂商合作、观赛体验等，对观时ACU、二路主播、生态规模等目标负责
2、负责赛事项目管理，结合赛事在小红书平台的发展阶段，策划特色活动并联动站内生态，做好赛事的内容发行
3、负责赛事内容生态的搭建，赛事主播、解说、作者的发掘和培养","1、3年以上游戏或赛事运营工作经验，在赛事运营、主播运营、活动运营等任一或多个维度有相关经验；
2、对市面上竞技类游戏及赛事有较高的兴趣度及深刻理解；
3、具有优秀的内容嗅觉及策划能力，能迅速捕捉赛事相关热点；
4、敏锐的用户洞察力和分析判断能力，有较强的逻辑思维和分析解决问题的能力；",1,王岳,,,,,https://hunter.xiaohongshu.com/position-detail/18771
热点策略运营,小红书,,"上海市,北京市",本科及以上,5-10年,,"1、负责小红书端内热点策略及运营，聚焦流行趋势挖掘和放大和人群运营；
2、热点挖掘：潜力原生热点线索的发现与放大，通过运营助推促成爆款，打造行业认可的优质案例；
3、热点心智：持续沉淀各兴趣领域的热点差异化心智，为圈层用户提频负责；
4、热点分发：搭建和完善热点标签体系，建设全场景推爆链路；
4、热点促产：热点创作者运营，优化热点创作范式，通过社群运营、活动促产、定向邀约等方式带动热点发布规模；
5、讨论运营：聚焦热点讨论方向及评论运营，以数据和内容洞察为出发点，推动热点产品功能及热点后台产品的能力迭代，提升热点评论规模；","1、本科及以上学历，具有5年及以上工作经验，从事过热点策略相关岗位优先，有团队管理经验优先；
2、熟悉内容产品，对趋势发酵有判断力，熟悉内容生产、分发、传播的完整链路；
3、与垂类、产品、生态、推荐等业务密切配合，推动跨部门OKR协作，为业务目标负责。
4、抗压力强，具备高度责任心，乐于接受挑战，能在较大的压力下保持良好工作状态",1,王岳,,,,,https://hunter.xiaohongshu.com/position-detail/18708
创新APP运营,小红书,,"上海市,北京市",本科及以上,1-3年,,"1.负责社交x地图xAI方向的创新APP的运营传播;
2.定义产品内容调性，挖掘内容选题策划活动，通过有趣的创意来让用户有共鸣;
3.设计创意传播切入点，构建自然的传播带增长链路;
4.运营账号，以真诚互动和优质内容连接用户;","1.有1年及以上互联网运营（内容/传播方向）经验;
2.有好的网感和创意，善于捕捉热点;
3.世界正在发生的有好奇心，对新产品新技术有热情.",1,邵佳怡,,,,,https://hunter.xiaohongshu.com/position-detail/18511
AI Infra工程师/专家,小红书,,"北京市,上海市,深圳市",本科及以上,不限,,"【部门介绍】引擎架构部是目前小红书AI Infra核心部门，囊括搜广推、CV、NLP、语音、多模态等主要业务场景。团队主导SOTA AI Infra架构设计与核心模块开发，支撑AI业务在AI前沿场景上规模落地。
【岗位职责】
参与开发下一代超大模型（百亿-万亿级）模型的GPU/NPU/PPU/CPU千卡互联分布式训练和推理框架。
参与开发分布式并行/流水线/通信优化/ZeRO/FSDP工作，消除大规模分布式训练通讯/计算/内存瓶颈，极致优化模型训练和推理的性能。
参与开发Triton，TileLang计算图编译优化或者使用CUDA/cutlass编写高性能算子，将硬件性能压榨到极致，最大化发挥出GPU/NPU/PPU/CPU等异构硬件协同算力。
参与开发/调试用于异构计算全链路的AI编译器，探索基于IR编译优化的片内多部件并行流水线等前沿技术，构建业界影响力。
支撑业界领先的多模态模型在国内最大的生活兴趣社区上落地。","【岗位要求】
1. 有扎实的工程算法基础，精通数据结构和常用算法，熟练掌握各种编译、调试、性能分析工具。
2. 精通C/C++/CUDA/Topscc/AscendC，具备扎实的系统底层能力（内存、并发、网络）。
3. 有大规模分布式系统开发和优化经验；有大模型分布式训练经验者优先。
4. 精通MLIR/TVM/Triton/Torch Inductor/TileLang/Verbs/NCCL/NVSHMEM等分布式异构计算框架和相关工具链。
5. 精通Megatron/DeepSpeed/veRL/OpenRLHF/LLaMA-Factory等业界开源训练框架。
6. 熟悉常见深度学习模型结构。

【加分项】
• 在Megatron、DeepSpeed、veRL、TVM、LLVM等社区有持续代码贡献。或有高质量技术博客、GitHub Repo、顶会论文（OSDI、SOSP、MLSys、KDD、RecSys 等）。",3,邵静静,,,,,https://hunter.xiaohongshu.com/position-detail/18875
创新产品增长运营,小红书,,上海市,本科及以上,1-3年,,"我们正在寻找一位能通过优质内容驱动产品增长的运营同学；你将深度参与产品从0到1的全流程增长，负责以内容为核心的用户增长策略与执行，构建产品的内容影响力与用户粘性
1. 产品达人生态建设：负责小红书等平台达人资源的挖掘、分析、建联与合作
2. 内容运营与把控：结合产品调性与平台热点，撰写内容指导Brief，并对达人产出的图文/视频内容进行质量审核与优化。
3. 社群运营与激活：协助运营核心用户社群，提升用户活跃度与产品粘性。
4. 数据分析与驱动：日常监控核心运营数据（如达人转化、内容效果等），进行复盘分析，并能提出切实可行的优化策略。","我们希望你
5. 熟悉小红书生态：深度理解小红书的内容生态与营销推广模式，对如何通过内容驱动用户增长有浓厚兴趣。
6. 具备运营执行力：能够独立完成达人寻源、建联、稿件审核与数据跟踪等全流程工作。
7. 数据敏感，结果导向：能够从数据中发现规律和问题，并推动运营策略的迭代优化。
8. 拥有内容审美与把控力：具备良好的审美能力，对设计美学有一定了解，能够判断内容质量并给出优化建议。
9. 有产品运营经验者优先：有“小而美”APP产品或社区运营经验，能够敏锐捕捉热点并将其转化为产品内容方向者优先。
本科以上学历，市场营销、广告学等专业优先，有小红书内容营销经验优先，有互联网大厂or有过小而美”APP产品运营经验优先～",2,马明月,,,,,https://hunter.xiaohongshu.com/position-detail/18098
前端开发工程师-点点（AI产品）,小红书,,"北京市,上海市",本科及以上,不限,,"1、负责 AI 对话应用的 Web 前端研发与架构设计，构建流式响应、低延迟、多模态交互的用户体验；
2、负责对话界面框架、消息实时渲染、语音输入支持、多媒体内容展示等核心功能模块的开发与维护；
3、优化页面加载性能、渲染效率、内存管理及应用稳定性，建立并推进前端性能监控与治理体系；
4、推动前端组件化、模块化建设，配合跨端方案实现高效统一的开发、调试与部署流程；
5、与后端、算法、产品等团队紧密协作，参与协议设计、接口联调与整体交互体验的持续优化。","1、1～5 年前端开发经验，具备复杂交互类 Web 应用开发经验；
2、精通 JavaScript/TypeScript，熟练掌握 React、Vue 等至少一种主流前端框架，对前端性能优化、工程化有深入实践；
3、具备多媒体前端开发经验（如音频播放、视频处理、图片优化等），了解 Web 语音、图像等相关 API 及交互实现；
4、具备良好的代码规范意识、工程协作能力和持续集成/交付经验；
5、对 AI 对话产品有浓厚兴趣，关注用户体验与前端技术趋势，具备较强的产品洞察力和技术热情。",3,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/18888
电商行业运营高阶-大商业,小红书,,上海市,本科及以上,5-10年,,-,-,3,睿彤,,,,,https://hunter.xiaohongshu.com/position-detail/18403
商业化-高阶（通用岗位）,小红书,,上海市,本科及以上,5-10年,,商业化高阶岗位,商业化相关经验,5,计海曼,,,,,https://hunter.xiaohongshu.com/position-detail/17716
公关高阶人选,小红书,,"北京市,上海市",本科及以上,10年以上,,负责小红书公司事务相关传播和外部沟通。,"认同小红书，乐观、皮实，对所从事的工作有热情
文字功底扎实，传播经验丰富。有过往代表作。
有较强政策、宏观和舆情认知能力，判断力强。
信息搜集、逻辑分析能力强，做事有条理。
具有在企业（优先互联网企业）从事PR管理的经验。",1,白潇,,,,,https://hunter.xiaohongshu.com/position-detail/9335
市场营销中台-高阶岗位,小红书,,上海市,本科及以上,5-10年,,/,/,1,白潇,,,,,https://hunter.xiaohongshu.com/position-detail/15101
投资专项,小红书,,"北京市,上海市,广州市",本科及以上,不限,,/,/,5,曾兰仪,,,,,https://hunter.xiaohongshu.com/position-detail/16146
