职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
高德-整合营销专家-旅游大交通业务部-信息业务中心,,阿里集团-高德,中国-北京-北京,本科,五年以上,P7,"1. 负责旅游大客户在高德地图的差异化定位与心智打造。基于对用户、竞争与趋势的深度洞察，主导策划并落地覆盖单品牌及多品牌的全年整合营销战役（如新品首发、节令营销等），通过创新的营销玩法与资源整合，确保营销策略精准驱动业务目标与品牌增长。
2. 结合景区淡旺季及市场热点和平台7节2促等机制，针对项目特性和品牌发展需求，制定项目年/季/月营销规划及专项方案，并落地营销活动，对客户曝光、交易规模及投产比负责，并根据营销活动数据等解读，基于业务视角持续改善优化活动效果。
3. 作为营销枢纽，高效协同平台流量、用增运、商户运营及产品技术等多部门，推动营销资源、产品工具与数据能力的整合落地。具备出色的项目统筹与谈判能力，能通过对业务需求的深刻理解，撬动并整合平台与商户侧资源，共同打造标杆性营销案例，提升平台区域营销影响力。
4. 建立营销活动核心监控指标体系，量化评估单次活动及长期投入产出趋势。通过数据复盘洞察不同类型营销武器对用户心智和商户增长的实际影响，并据此迭代策略和产品建设。重点推进营销产品能力新建和迭代，通过丰富营销和广告武器库并精准化运营，实现品效合一的业务增长。","1. 五年及以上景区大客户营销和广告工作经验，熟悉旅游行业，有OTA 或抖音行业背景优先。
2. 较强的洞察力，能够捕获和获取热点并升级打造营销事件。具备项目策划能力，并参与和组织过行业维度的营销活动。
3. 数据分析能力：具备数据分析能力，并熟练掌握数据分析工具。
4. 沟通与团队合作：具有良好的沟通协调能力和团队合作精神，能够在跨部门的环境中有效地推动项目进展和团队合作，能够完成项目从立项到结案全周期的交付。",1,杨曦(九薇),,2026 - 02 - 24,2026 - 04 - 30,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260224561d907a1a2d4a3395f6c6fa20638d17&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德销服科技-渠道-区域商家成长运维-杭州/北京,,高德销服科技-高德销服科技,"中国-浙江-杭州,中国-北京-北京",本科,五年以上,ALS-P8,"1、区域营收增长，与代理商形成合力，基于行业*城市视角寻找增长策略，并在过程中在代理商的广告消耗拉升、广告主留存优化和广告主增长等纬度上沉淀标准化动作，同时基于城市特性（行业 * 商家分层）推动 政策、机制、产品优化，为区域商业化收入增长负责；
2、运维能力建设，针对高德到店行业（ 如 休娱/教培/医疗/家装/零售行业），提升代理商运维团队能力，包括但不限于广告营收增长（效果广告、品牌广告）、商家供给质量（好货好价好门店）、运维服务标准提升，并在过程中基于运维效率推动平台运维工具持续优化；
3、服务商运维管理，基于服务商类型，推动服务商运营团队建设，同时基于运维专业化视角，加强属地化运营的有机组合，形成1+1>3的运维系统；","任职要求：
1、【必须】具备代理商管理经验，具备自驱力及抗压力强，有较强的跨团队沟通能力，能够积极主动协同 内部业务团队 与 外部服务商团队，共同推进业务增长；
2、【必须】拥有5年及以上效果广告投放经验，对效果广告逻辑有深刻理解，具备本地生活行业经验及平台经验者优先；
3、总结沉淀能力强，对数据敏感 善于从数据中寻找机会及通用属性，并沉淀放大，具备较强的沟通协调 及 精准表达 能力。",4,田媛媛,,2026 - 02 - 24,2026 - 03 - 29,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260224acb4829f61d041b888a393a38bf484be&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
业务技术-AI Agent 开发工程师-交易方向,,淘天集团-业务技术,中国-浙江-杭州,本科,一年以上,P6,"我们是淘天电商交易核心技术团队，面向导购、下单、支付、履约等关键链路，打造新一代 AI Native 交易系统。一方面，你需要在高并发、强一致的电商场景下，持续打磨稳定可靠的 Java 后端基础设施；另一方面，你将基于大模型（LLM）设计并落地面向电商场景的智能 Agent，驱动交易体验与运营效率的代际升级。
根据你的技术背景与兴趣，你将参与以下一个或多个方向的工作：
● 【会话&记忆】构建面向交易场景的上下文管理、对话记忆、用户画像等能力，分层的存储、检索与更新。
● 【AI工具链】AI 应用开发框架、 版本管理、A/B 实验、全链路可观测体系（Metrics/Logs/Traces）。
● 【知识图谱】设计交易领域知识图谱的建模、构建与推理能力，实现实体关系抽取、图谱问答、知识增强推理等，为AI应用提供结构化知识支撑。
● 【AI应用】代客退款、万能搜、无货订购、低价下单、帮我省、物流总结等丰富的业务场景。与产品、运营深度协同，从业务问题出发，完成需求分析到效果迭代的完整闭环，抽象可复用。
● 【架构设计】深入分析业务场景，通过ontology、DDD等方法论完成模型设计，解决AI Ready的模型归一与数据清洗的问题。","● 基础扎实，数量掌握java、 jvm、消息队列、数据库、网关等计算机基础知识。
● 1年以上的Java研发经验，有前瞻设计和架构思维，代码质量高，考虑性能、扩展性和可读性。
● 对 AI 技术有兴趣，有使用 Java 生态下 AI 框架（如 Spring AI、AgentScope 等）经验，有针对业务目标进行调优的实践。
● 【加分项】有实时/离线数据处理、数据湖经验，熟悉特征工程或数据质量治理。
● 【加分项】具备系统架构设计能力，能主导模块划分、技术选型与容灾降级方案，对高可用（SLA）与可观测性有实践理解；
● 【加分项】对Memory/Graph有深入研究，或有rds、kv store、搜索引擎的研发或深度应用经验。",3,楼婧萱(晚宜),,2026 - 02 - 12,2026 - 05 - 07,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602121fab36f20e864aada46f0623cebc2ecc&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
通义实验室-大模型Post-training算法工程师-通义千问,,阿里集团-通义实验室,"中国-北京-北京,中国-浙江-杭州,中国-上海-上海",硕士,一年以上,P7,"通义千问（Qwen）是由通义实验室自主研发的超大规模语言模型，具备跨语言、跨任务的理解与生成能力。Qwen系列模型，涵盖参数量从几百 M 到 T 级的基座大语言模型，并相继推出Qwen-VL、Qwen-Audio、Qwen-Omni、Qwen-Coder、Qwen-Image等系列模型。从多轮对话到代码生成，从逻辑推理到内容创作，从单一多模态到全模态统一理解生成，Qwen 正在打造全球领先的全模态模型技术体系，推动AI在企业服务、开发者生态、个人用户等领域的深度应用，引领下一代人工智能的发展。
在蕴含丰富世界知识的预训练模型的基础上，我们利用 Post-train 打造出我们想要的能够服务人类的 AI 模型。我们通过 RL、SFT、RFT 等技术，探索大模型潜能的同时，也在塑造大模型的能力与性格。本着为人类服务的目标，我们的 Post-train 将会重点探索其推理能力，实现深度思考，并致力于提升其 Agent 能力，让大模型服务于真实世界的任务。

工作职责：
1. 探索更多可 scalable 的 verifier 信号，并通过 RL 提升模型的各项能力。
2. 提升 reward model 在创作、人类偏好、指令遵循等各专项上的能力，减少reward hacking和bias。
3. 研究 reasoning path压缩和外推，实现更高质量的推理思考。
4. 将LLM的推理能力和Agent以及其他模态相结合，探索统一模态的reasoning。","1. 计算机、机器学习等方向相关专业，博士及硕士优先。
2. 具有 post-training 或强化学习相关方向经验。
3. 精通 Python 以及 Pytorch 等深度学习框架，具有较强的代码工程能力。

加分项：
1. 熟悉LLM推理引擎（如vLLM，SGLang）的实现。
2. 曾发表顶级会议论文并具有一定的学术影响力，包括但不限于NeurIPS、ICLR、ICML、ACL等。
3. 拥有知名开源项目，在开源社区具有较好的影响力。",3,耿晨(晨烨),,2026 - 02 - 11,2026 - 02 - 22,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602112699575733fb4ee5a0eca6fe87ffe118&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-大模型应用算法专家-杭州*,,淘天集团-智能算法产品事业部,中国-浙江-杭州,硕士,四年以上,P7,"1、参与电商大模型智能体产品研发，包括框架设计、算法开发、迭代优化等
2、根据业务产品形态对大模型进行post training（SFT/RLHF等）优化、结构优化、prompt engineering等
3、基于LLM的机器人AI Agent模块与产品其他功能模块交互的工程实现
4、跟进大模型智能体前沿技术趋势，结合实际业务需求，将技术应用到实际业务场景","1、计算机或相关专业本科以上学历，硕士博士优先；
2、具备NLP大模型算法知识，有大模型相关使用经验，做过对话机器人的优先；
3、具有良好的英文阅读能力，可以快速理解前沿论文和技术文档并评测效果；
4、出色的问题解决能力和创新能力，能够从实际业务问题出发，解决复杂的技术挑战；
5、顶会上发表过论文，参与过ICPC/CCPC算法类竞赛获奖者优先；",1,舒文凯(尘勋),,2026 - 02 - 14,2026 - 04 - 25,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026021051a4b7b76e274bf39474ab23dc349aab&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里妈妈-广告引擎研发工程师-北京*,,淘天集团-阿里妈妈,中国-北京-北京,本科,三年以上,P7,"阿里妈妈是国内先进的数字营销广告平台，在这里你可以了解前沿的搜推广工程技术、实现技术和商业的完美结合。我们需要你:
1. 负责承接来自产品的业务需求和来自算法的技术需求，不断赋能阿里妈妈广告玩法创新升级；
2. 通过持续不断的抽象、沉淀、重构，持续提升妈妈广告业务引擎的性能、稳定性和迭代效率；
3. 在全域智能化投放的大背景下，参与引擎架构的长周期基建，并不断为业务优化推高天花板；
4. 在AGI迎面扑来的大趋势下，参与引擎研发面向AI范式演进；","1. 熟悉计算机编程语言(C++/Python)、基本的数据结构、算法、操作系统 等计算机基础知识和技能，有对Tensorflow底层技术有所研究者优先；
2. 了解常见设计模式，对于架构设计有一定见解，有图化/Serverless实践经验者优先；
3. 具备搜索、推荐、广告领域经验者优先，有大规模高性能分布式系统开发经验者优先，有AI工程经验者优先；
4. 具备良好的沟通能力和团队协作能力，善于抽象总结，乐于思考表达，积极乐观，有自驱力；
5. 对AI前沿感兴趣，有过AI应用经验的优先；",8,楼朗见(琴敌),,2026 - 02 - 10,2026 - 04 - 10,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026021062bc1ddfc0e740e992abf2e422d85ce5&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里妈妈-数据研发工程师-大数据/AI方向*,,淘天集团-阿里妈妈,中国-北京-北京,本科,一年以上,P7,"1.负责广告数据计算平台设计和开发，支持万亿级数据的交互式圈人、洞察、归因、报表场景。
2.负责广告定向数据产品研发，能提供架构设计和优化方案，并从技术上推进产品的快速迭代。
3.紧跟业界前沿，探索增强分析、智能营销助手等创新场景的技术解决方案。","1.熟练掌握C++、多线程、网络通信、高性能优化，或者熟练掌握Java开发和调优、并发编程模式，有丰富Unix/Linux环境开发经验。
2.具备丰富的数据开发经验，熟悉Hadoop、Hive、Spark、flink等体系结构，并有实际开发经验。
3.熟悉Impala/Presto/GreenPlum/Clickhouse等MPP数据库，对各数据库的优劣和适用场景有深入理解，有实践经验者优先。
4.熟悉分布式技术并有实践经验（rpc框架， nosql存储），对kafka等消息中间件有深入了解。
5.大学本科及以上学历，三年以上计算机相关工作经验，有强烈的求知欲和较强的学习能力，对技术充满热情。",2,楼朗见(琴敌),,2026 - 02 - 24,2026 - 03 - 28,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260210e35b823f1e2f42fea8308ff1fd01553f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-推荐算法工程师-杭州*,,淘天集团-智能算法产品事业部,中国-浙江-杭州,硕士,二年以上,P6,"1. 面向淘宝BC关系运营核心场景：首页关注TAB和关注店铺的商品、图文、视频等内容推荐业务。
2. 超大规模推荐算法研发：超大规模商品、图文、视频内容业务的召回、排序、重混排模型算法研发工作。
3. 通过超大规模在线深度学习、用户行为超长期序列建模、全域学习、多场景迁移学习等技术提升算法效率。
4. 探索大模型在推荐系统中的应用：利用大模型技术丰富内容供给、提升推荐系统泛化能力，结合跨域多模态信息提升内容推荐效率和体验。","1、计算机科学/人工智能/机器学习/数学/统计学相关专业硕士及以上学历；
2、具备优秀的编码能力，扎实的数据结构和算法功底;
3、熟悉大规模机器学习/深度学习算法, 具有如搜索/推荐/广告等相关领域经验；
4、对技术有热情，有自己的理解, 能够用技术推动业务进步和变革；优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情, 不轻易放弃；
5、有良好的沟通表达能力, 具有团队精神, 有良好的团队协同能力；",1,舒文凯(尘勋),,2026 - 02 - 24,2026 - 04 - 24,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026021081559a55e7aa479d8f6b23ddc44bdf31&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-算法专家（商品基础数据）-杭州*,,淘天集团-智能算法产品事业部,中国-浙江-杭州,硕士,二年以上,P7,"1、参与大模型在商品领域落地项目，涵盖商品内容理解/摘要/商品关键信息提取与百科生成等各项工作。
2、参与商品表征基础能力建设，涵盖图/文表征、多模态表征、无监督聚类等算法内容。
3、参与商品理解算法基础能力建设与商品同款簇算法创新和研发，包括关键词提取、文本分类、检索匹配、图神经网络，探索前沿技术并落地业务。","1、本科及以上学历，硕博士优先，机器学习、cv、NLP、数学自动化等相关专业，有国际顶会论文发表优先。
2、有大规模机器学习，商品理解，个性化推荐，广告，信息检索，自然语言处理相关领域工作经验，对商品领域有深入研究者优先。
3、具备扎实的数据结构、算法和编码能力，精通至少一种编程语言，C++/python/java等。
4、熟悉深度学习开源框架tensorflow、pytorch等。
5、具备优秀的学习能力和团队合作精神。",1,舒文凯(尘勋),,2026 - 02 - 14,2026 - 03 - 20,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602102d6392d2f9ab41e99cc67f6bf1088bff&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天算法技术-语音算法（AI助手）-北京/杭州*,,淘天集团-智能算法产品事业部,中国-北京-北京,本科,一年以上,P6,"1、参与语音助手在电商领域应用的相关算法工作，打造业界先进的电商语音AI助手
2、参与语音增强、说话人识别、语音识别、语音合成、上下文管理、文本问答、多模态问答、MobileUse等相关核心技术的研发
3、负责对语音AI助手进行效果和性能优化，持续提升用户体验
4、跟踪业界前沿技术，进行技术预研","1、计算机科学、数学、电子工程等相关专业本科及以上学历
2、精通深度学习、机器学习等人工智能领域常用算法，熟练使用PyTorch开源框架
3、具有良好的编程习惯及编码规范，具备较强的逻辑思维能力，能够从海量数据中发现和解决问题
4、有智能语音、大模型、多模态相关领域的实践、研究经验者或有论文发表经验者优先
5、参加过ACM/ICPC、CCPC、NOI等算法竞赛获奖者优先",2,史肖(敏曦),,2026 - 02 - 14,2026 - 02 - 23,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260210f6e9e65c9152478ab44cfc075f588a46&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
